,X,Y,Z,Classification
59823,1175009.6300000001,1883214.0,611.32,6
60033,1175009.67,1883568.98,602.94,6
60106,1175009.68,1883044.44,669.96,5
60220,1175009.7,1882950.3,592.95,2
60459,1175009.75,1884820.59,597.59,3
60540,1175009.76,1883068.2,634.62,5
60594,1175009.77,1882856.44,592.92,2
60603,1175009.78,1884870.78,592.42,3
60714,1175009.79,1882919.34,652.94,5
60760,1175009.8,1883066.52,655.96,5
61193,1175009.8900000001,1884129.36,610.97,4
61522,1175009.95,1883049.96,621.59,5
61603,1175009.97,1883450.43,602.58,6
61701,1175009.99,1883974.56,611.44,4
61939,1175010.03,1883743.9100000001,596.13,3
62014,1175010.04,1882744.44,593.53,2
62101,1175010.06,1884155.06,597.32,3
62217,1175010.08,1884053.3,592.39,2
62945,1175010.2,1884749.3900000001,593.59,2
63003,1175010.21,1884129.3,610.1800000000001,4
63084,1175010.22,1882898.11,655.38,5
63138,1175010.23,1882946.6500000001,593.0600000000001,2
63152,1175010.24,1884944.22,640.99,5
63416,1175010.28,1883079.9100000001,648.48,5
63520,1175010.3,1883977.1500000001,607.41,4
63744,1175010.33,1882968.3900000001,593.03,2
63764,1175010.34,1884554.21,619.53,6
63902,1175010.36,1884556.01,614.29,4
64091,1175010.3800000001,1882917.07,593.7,2
64334,1175010.42,1883353.37,607.94,4
64948,1175010.51,1883622.6400000001,593.76,3
65189,1175010.55,1884272.25,592.59,2
65229,1175010.56,1884753.24,629.97,5
65738,1175010.6400000001,1884439.37,614.96,5
65855,1175010.66,1884870.7,596.82,3
65943,1175010.67,1884121.11,594.0600000000001,2
65982,1175010.67,1882769.78,593.54,2
66685,1175010.78,1883343.18,613.99,6
66982,1175010.82,1882942.61,643.11,5
67088,1175010.84,1884136.84,595.53,3
67115,1175010.84,1883068.9100000001,654.7,5
67370,1175010.8800000001,1884021.44,593.5,2
67397,1175010.8800000001,1883000.07,616.8100000000001,5
67472,1175010.8900000001,1882895.03,648.35,5
